Symbol,Date,Close,High,Low,Open,Volume
AAPL,2001-01-01,1.0626,1.0714,1.0357,1.0486,0
AAPL,2001-01-02,1.0625,1.0893,1.0402,1.0625,113078000
AAPL,2001-01-03,1.1696,1.192,1.0312,1.0357,204268400
AAPL,2001-01-04,1.2188,1.3214,1.2009,1.2943,184849000
AAPL,2001-01-05,1.1697,1.2411,1.1474,1.21,103077800
AAPL,2001-01-08,1.183,1.2121,1.1384,1.21,93427600
AAPL,2001-01-09,1.2277,1.259,1.1831,1.2,146739600
AAPL,2001-01-10,1.1831,1.2143,1.1474,1.1929,144499600
AAPL,2001-01-11,1.2857,1.3214,1.1607,1.1614,200271400
AAPL,2001-01-12,1.2277,1.2857,1.2189,1.2771,105691600
AAPL,2001-01-15,1.2277,1.2857,1.2189,1.2771,0
AAPL,2001-01-16,1.2233,1.3036,1.2143,1.2457,75969600
AAPL,2001-01-17,1.2009,1.2545,1.1786,1.2545,210359800
AAPL,2001-01-18,1.3348,1.3393,1.2589,1.2714,306752600
AAPL,2001-01-19,1.3929,1.3974,1.3349,1.3886,194019000
AAPL,2001-01-22,1.375,1.4019,1.317,1.3614,129836000
AAPL,2001-01-23,1.4643,1.4956,1.3617,1.3786,219433200
AAPL,2001-01-24,1.4688,1.4777,1.4643,1.4729,28000
AAPL,2001-01-25,1.4241,1.4688,1.4107,1.4688,122427200
AAPL,2001-01-26,1.3974,1.4153,1.3617,1.3929,120458800
AAPL,2001-01-29,1.5491,1.5536,1.3974,1.3974,213537800
AAPL,2001-01-30,1.5536,1.5714,1.4911,1.54,173031600
AAPL,2001-01-31,1.5447,1.6071,1.5313,1.5357,182519400
AAPL,2001-02-01,1.5089,1.5357,1.4643,1.4786,92776600
AAPL,2001-02-02,1.4733,1.567,1.4643,1.5086,106825600
AAPL,2001-02-05,1.442,1.4689,1.4107,1.4643,81531800
AAPL,2001-02-06,1.509,1.5313,1.4286,1.44,115613400
AAPL,2001-02-07,1.4821,1.4911,1.4153,1.4757,97745200
AAPL,2001-02-08,1.4821,1.5046,1.442,1.4686,150851400
AAPL,2001-02-09,1.3661,1.4867,1.3349,1.4643,147235200
